"date","count"
"2019-05-30","73"
"2019-05-05","70"
"2019-05-11","86"
"2019-05-07","71"
"2019-03-12","3"
"2019-04-21","1"
"2019-05-28","149"
"2019-04-28","32"
"2019-04-24","1"
"2019-05-03","110"
"2019-05-01","71"
"2019-05-25","120"
"2019-04-26","2"
"2019-05-23","57"
"2019-05-10","201"
"2019-05-12","61"
"2019-05-06","62"
"2019-05-16","96"
"2019-04-27","2"
"2019-05-09","172"
"2019-05-04","69"
"2019-05-08","58"
"2019-05-24","49"
"2019-05-14","68"
"2019-05-20","86"
"2019-05-02","68"
"2019-05-22","95"
"2019-04-16","1"
"2019-05-29","133"
"2019-04-06","1"
"2019-05-13","53"
"2019-05-27","71"
"2019-05-21","102"
"2019-04-29","163"
"2019-04-30","93"
"2019-05-26","94"
"2019-05-19","41"
"2019-05-15","103"
"2019-05-18","53"
"2019-05-17","159"
"2019-04-14","1"
